Product Name,Advert Link,Price
"ASUS VivoBook E201NA-GJ008T-OSS 11.6 Inch HD Notebook - (Blue/Grey) (Intel Celeron Dual Core N3350, 4 GB RAM, 64 GB eMMC, Windows 10)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A00710873VJLJCKJASE0T&url=%2FASUS-VivoBook-E201NA-GJ008T-OSS-11-6-Inch-Notebook%2Fdp%2FB075FCF511%2Fref%3Dsr_1_38_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190573%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-38-spons%26psc%3D1&qualifier=1556190573&id=7978758600817789&widgetName=sp_btf,"159
."
"Acer Chromebook 11 CB3-132 - (Intel Celeron N3060, 2GB RAM, 16GB eMMC, 11.6 inch HD Display, Google Chrome OS, White)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A06227413REMKIAI48MWW&url=%2FAcer-Chromebook-11-CB3-132-Celeron%2Fdp%2FB07917WNCJ%2Fref%3Dsr_1_33_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190576%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-33-spons%26psc%3D1&qualifier=1556190576&id=1733480280244617&widgetName=sp_atf_next,"149
."
"Dell Chromebook 11 3000 11.6 Inch Notebook -(Black) Intel Celeron N3060, 4 GB RAM, 16 GB eMMC, Chrome OS",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_2?ie=UTF8&adId=A06306892U2U3WYYGMG4I&url=%2FDell-Chromebook-Notebook-Celeron-Chrome%2Fdp%2FB07HZ377MN%2Fref%3Dsr_1_34_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190576%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-34-spons%26psc%3D1&qualifier=1556190576&id=1733480280244617&widgetName=sp_atf_next,"169
."
"ASUS Chromebook C223NA-GJ0014 11.6 Inch HD Notebook - (Grey) (Intel Celeron N3350 Processor, 4 GB RAM, 32 GB eMMC, Chrome OS)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A032354280K5RKOOXKU6&url=%2FASUS-Chromebook-C223NA-GJ0014-Notebook-Processor%2Fdp%2FB07HJHMCX2%2Fref%3Dsr_1_43_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190576%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-43-spons%26psc%3D1&qualifier=1556190576&id=1733480280244617&widgetName=sp_mtf,"159
."
"Acer Chromebook 14 CB3-431 - (Intel Celeron N3060, 2GB RAM, 32GB eMMC, 14 inch HD Display, Google Chrome OS, Silver)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_2?ie=UTF8&adId=A06228973G2INGIBJI7A2&url=%2FAcer-Chromebook-14-CB3-431-Celeron%2Fdp%2FB01NCU7BQD%2Fref%3Dsr_1_44_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190576%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-44-spons%26psc%3D1&qualifier=1556190576&id=1733480280244617&widgetName=sp_mtf,"194
."
"Huawei Matebook D 14-Inch Laptop - (Mystic Silver) (Ryzen 5 2500U Processor, 8 GB RAM, 256 GB SSD, Radeon Vega Graphics, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0612545VNCBV8N602TR&url=%2FHuawei-Matebook-14-Inch-Laptop-Processor%2Fdp%2FB07KV9J1PG%2Fref%3Dsr_1_53_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190576%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-53-spons%26psc%3D1&qualifier=1556190576&id=1733480280244617&widgetName=sp_btf,"559
."
"ASUS TUF FX505GD 15.6 Inch Slim Bezel FHD Gaming Laptop (Nvidia GTX 1050 4 GB Graphics, Intel i5-8300H Processor, 256 GB SSD, 8 GB RAM, Windows 10)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_2?ie=UTF8&adId=A0486609UE03YFS8ZXEL&url=%2FASUS-FX505GD-Graphics-i5-8300H-Processor%2Fdp%2FB07NY2JD32%2Fref%3Dsr_1_54_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190576%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-54-spons%26psc%3D1&qualifier=1556190576&id=1733480280244617&widgetName=sp_btf,"649
."
"HP Spectre 13 x 360 13.3 Inch Full HD Touch-screen Convertible Laptop with Stylus - (Dark Ash Silver) (Intel Core i5-8265U, 8 GB RAM, 256 GB SSD, Full HD IR Webcam, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A02475571ZOCQD1BWQVE0&url=%2FHP-Spectre-Touch-screen-Convertible-Laptop%2Fdp%2FB07JCDW8Y9%2Fref%3Dsr_1_49_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190578%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-49-spons%26psc%3D1&qualifier=1556190578&id=2982887657923726&widgetName=sp_atf_next,"999
."
"HP ENVY 13-ah0003na 13.3-Inch FHD Touch Screen Laptop - (Silver) (Intel i7-8550U, 16 GB RAM, 512 GB SSD, NVIDIA GeForce MX150, 2 GB dedicated, Windows 10 Home)",/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_2?ie=UTF8&adId=A02471652FH7AQDMJ7BFW&url=%2FHP-13-ah0003na-13-3-Inch-Screen-Laptop%2Fdp%2FB07F35Z36K%2Fref%3Dsr_1_50_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190578%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-50-spons%26psc%3D1&qualifier=1556190578&id=2982887657923726&widgetName=sp_atf_next,"999
."
"Dell Chromebook 11 3000 2-in-1 11.6 Inch Notebook - (Fog Grey) Intel Celeron N3060, 4 GB RAM, 64 GB eMMC, Chrome OS",/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A062268531H3P6F2O5WRY&url=%2FDell-Chromebook-3000-11-6-Notebook%2Fdp%2FB07HZD3Q1G%2Fref%3Dsr_1_59_sspa%3Fcrid%3D20V8GTNKKS8GF%26keywords%3Dlaptop%26qid%3D1556190578%26s%3Dgateway%26sprefix%3Dla%252Caps%252C167%26sr%3D8-59-spons%26psc%3D1&qualifier=1556190578&id=2982887657923726&widgetName=sp_mtf,"229
."
